Sale_MF,TransactionsDebCashless_Card,Count_MF,Client,Sale_MF_1,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card_1,TransactionsDeb_PaymentOrder,Count_CA,Count_SA,Count_MF_1,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,Sex,Age,Tenure
1,34,,1104,1,0,1,0.6996428571428571,0.0,6.25,4778.456428571429,4118.971071428571,40,28,4534.124285714285,4052.7210714285716,1650.0,534.75,1150.2857142857142,102,69,7,34,18,1,,,1.0,1.0,1.0,0.0,,,0.0,1.1785714285714286,120.67607142857142,F,79,213
1,11,,130,1,0,0,0.06714285714285714,0.0,0.0,1922.2571428571428,1339.5464285714286,24,22,1958.1642857142856,1350.2607142857144,185.71428571428572,85.37142857142858,496.0357142857143,45,24,6,11,3,1,,,1.0,,,12.750357142857142,,,681.5203571428572,,,F,60,147
1,7,,880,1,0,0,1.2494642857142857,0.0,0.0,8.143214285714285,8.143214285714285,2,2,42.42857142857143,42.42857142857143,17.857142857142858,24.571428571428573,0.0,9,9,2,7,0,1,,,,,,70.54857142857142,,,,,,F,49,64
1,0,,1500,1,1,1,21.025000000000002,2.3528571428571428,6.571428571428571,0.0007142857142857143,0.0007142857142857143,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,,,1.0,,,90.45321428571428,,,0.0,,,F,33,15
1,0,3.0,1392,1,0,1,1.674642857142857,0.0,1.75,791.0521428571428,674.6246428571429,7,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1.0,3.0,,,,10.714285714285714,1726.8857142857144,0.0,,,,F,29,152
1,34,,1182,1,0,0,6.997321428571429,0.0,0.0,2450.1746428571428,1928.6564285714285,13,7,2266.7289285714287,1787.4875,89.28571428571429,753.8196428571429,911.2882142857143,53,18,1,34,13,1,,,1.0,1.0,,3044.5989285714286,,,0.0,512.8,,M,47,86
1,2,,683,1,0,0,0.19232142857142856,0.0,0.0,428.57178571428574,428.57178571428574,3,3,437.4789285714286,437.4789285714286,357.14285714285717,78.1575,0.0,7,7,3,2,0,1,,,,,,2052.3625,,,,,,F,55,101
1,0,4.0,1040,1,1,0,1.4324999999999999,5.428571428571429,0.0,2812.756785714286,2800.1885714285713,8,6,804.1739285714285,804.1739285714285,0.0,0.0,192.74535714285713,6,6,0,0,3,1,1.0,4.0,,,,3135.429642857143,15743.120357142858,3678.5714285714284,,,,M,65,14
1,0,1.0,1415,1,1,0,0.49821428571428567,0.32142857142857145,0.0,414.03607142857146,412.50928571428574,4,3,303.0,303.0,107.14285714285714,0.0,193.67857142857142,4,4,1,0,2,1,1.0,1.0,,,,6512.073571428571,18677.399642857144,501.0785714285715,,,,M,67,28
1,0,,1056,1,0,1,10.527142857142858,0.0,12.0,0.021785714285714287,0.021785714285714287,1,1,0.8939285714285715,0.8939285714285715,0.0,0.0,0.0,1,1,0,0,0,1,,,,,,283.60499999999996,,,,,,F,10,159
