client,cc_predicted_probability,cc_predicted_revenue,cc_expected_revenue,cl_predicted_probability,cl_predicted_revenue,cl_expected_revenue,mf_predicted_probability,mf_predicted_revenue,mf_expected_revenue
545,0.7717968,5.3578362,4.135161,0.743412,10.341004,7.687627,0.35874963,2.6644068,0.0
667,0.41364133,4.896818,0.0,0.30674738,10.285494,0.0,0.40375417,4.356471,0.0
1360,0.47207126,4.380789,0.0,0.68712205,10.478635,0.0,0.42227426,2.2951112,0.0
267,0.76990587,4.935772,3.8000798,0.5466426,10.7489805,0.0,0.35881972,3.662478,0.0
1420,0.37879458,4.299595,0.0,0.21055904,11.221128,0.0,0.5020014,2.8729768,0.0
1024,0.36251944,4.631099,0.0,0.35580692,11.1361265,0.0,0.46071255,3.26236,0.0
119,0.5318238,4.931327,0.0,0.74723005,10.608508,7.926996,0.544836,2.3062322,0.0
1243,0.6977178,4.68572,0.0,0.57157207,11.145842,0.0,0.6544046,4.1974163,0.0
505,0.5503753,4.7045207,0.0,0.29041412,10.714466,0.0,0.48267168,3.2060246,0.0
1320,0.20114702,4.1983685,0.0,0.23045246,11.023987,0.0,0.4655706,1.0989385,0.0
919,0.18973109,5.0952263,0.0,0.47176254,10.7954855,0.0,0.36003,3.7178648,0.0
144,0.38800794,3.9218352,0.0,0.2672129,10.579177,0.0,0.38832393,2.046597,0.0
1440,0.10529848,4.104646,0.0,0.55026037,10.307343,0.0,0.5618347,3.208239,0.0
779,0.28466886,4.819107,0.0,0.5862157,11.14604,0.0,0.5257995,4.7740107,0.0
889,0.6345019,4.0162582,0.0,0.5422946,10.929301,0.0,0.4864351,1.6827931,0.0
426,0.43168178,3.8637125,0.0,0.27358112,11.226438,0.0,0.528877,3.1219919,0.0
373,0.2899559,4.241822,0.0,0.5483268,10.367019,0.0,0.379606,1.6977569,0.0
464,0.61869943,4.618875,0.0,0.51519024,11.187316,0.0,0.31871787,2.833566,0.0
958,0.40342128,4.892246,0.0,0.11927097,10.9590435,0.0,0.44492897,3.6437838,0.0
528,0.33943,4.2791667,0.0,0.6610323,11.220942,0.0,0.3487185,1.4296719,0.0
64,0.41193962,4.306879,0.0,0.41741738,10.3258295,0.0,0.66453177,4.1803813,0.0
1509,0.27952743,4.9695945,0.0,0.36149162,11.169599,0.0,0.44928455,1.6100124,0.0
1172,0.24342923,4.6901493,0.0,0.4974899,10.734098,0.0,0.386465,2.3907664,0.0
389,0.9258537,4.9561415,4.588662,0.6181393,10.741059,0.0,0.6191418,4.2124376,0.0
154,0.2943515,5.366653,0.0,0.8245909,10.714615,8.835175,0.63216954,4.628427,0.0
1466,0.36812335,4.670046,0.0,0.32158285,11.1978855,0.0,0.42136776,2.3017986,0.0
226,0.22827396,3.958111,0.0,0.29954174,10.785324,0.0,0.50174594,3.246611,0.0
1237,0.24772146,5.081008,0.0,0.63007486,11.106338,0.0,0.32854697,1.970591,0.0
400,0.33249405,4.8143654,0.0,0.47177136,10.539884,0.0,0.40037274,1.8544712,0.0
1430,0.21416049,6.07829,0.0,0.16874169,10.627947,0.0,0.31871787,3.3788524,0.0
1089,0.16578674,5.022281,0.0,0.4482545,10.507031,0.0,0.41001898,3.428842,0.0
91,0.5411586,3.7719424,0.0,0.5062352,10.677143,0.0,0.7131305,3.5501282,2.5317047
1270,0.43220207,4.5110974,0.0,0.4413248,11.16886,0.0,0.47160438,1.8291267,0.0
1363,0.2103294,4.274506,0.0,0.23831002,11.177651,0.0,0.4975227,3.168188,0.0
1373,0.26100838,4.6735888,0.0,0.5287057,10.321692,0.0,0.47257537,1.9086525,0.0
1249,0.60602695,3.8693488,0.0,0.13425654,11.220942,0.0,0.39234367,1.065868,0.0
165,0.39522603,3.5475178,0.0,0.36173543,11.171951,0.0,0.5579686,2.9774215,0.0
1153,0.48669875,4.3723135,0.0,0.25968978,10.599234,0.0,0.48913464,1.0715061,0.0
24,0.26106867,3.822471,0.0,0.30843547,10.976062,0.0,0.3623842,3.7614763,0.0
1598,0.25414872,4.4628,0.0,0.46120054,10.373191,0.0,0.3944519,3.0231721,0.0
314,0.43250573,3.82256,0.0,0.56019276,10.738535,0.0,0.6191418,3.7568223,0.0
255,0.46494487,4.9274635,0.0,0.55452013,10.285494,0.0,0.31999254,2.901071,0.0
1037,0.23511498,4.545305,0.0,0.35137597,11.027557,0.0,0.40192616,2.1912436,0.0
595,0.12759763,4.868221,0.0,0.541523,10.764551,0.0,0.36636505,2.5764668,0.0
1546,0.7773649,4.3392334,3.3731678,0.27999774,10.351912,0.0,0.47160438,2.175426,0.0
231,0.16332245,4.8563023,0.0,0.85226834,10.855194,9.251538,0.38662583,4.717052,0.0
504,0.5310945,4.2852373,0.0,0.6688297,11.145159,0.0,0.60255784,2.682895,0.0
1398,0.47563085,4.6243033,0.0,0.37864572,10.296674,0.0,0.58945906,3.2060246,0.0
756,0.2576249,4.564911,0.0,0.69888705,10.316364,0.0,0.7140526,3.4435942,2.4589074
1088,0.41143608,4.134604,0.0,0.229288,10.576195,0.0,0.42841372,2.8403323,0.0
733,0.28245595,4.461123,0.0,0.52779895,11.119054,0.0,0.3944519,3.2060246,0.0
57,0.5685067,4.77541,0.0,0.70818114,10.858771,0.0,0.44332546,2.062943,0.0
1510,0.66324854,4.4822993,0.0,0.5914725,11.057951,0.0,0.4926315,2.7247257,0.0
677,0.16153263,5.3432384,0.0,0.81131583,11.075408,8.985654,0.37894878,3.7667663,0.0
1518,0.46219218,4.502712,0.0,0.40666017,11.044219,0.0,0.46071255,3.2060246,0.0
350,0.2623054,3.733635,0.0,0.7858666,10.968474,8.619758,0.4173099,5.2898846,0.0
1300,0.61072624,3.82256,0.0,0.3999151,11.018001,0.0,0.4975227,1.9704124,0.0
899,0.2090345,4.1548033,0.0,0.24128175,10.401351,0.0,0.41940778,1.8379816,0.0
459,0.35070193,4.6243033,0.0,0.59889704,11.18832,0.0,0.41001898,3.086779,0.0
749,0.1995069,5.0461144,0.0,0.59199613,10.718409,0.0,0.37709928,3.5547886,0.0
807,0.43595165,3.457975,0.0,0.29202357,10.371198,0.0,0.42841372,4.730219,0.0
207,0.4371186,3.874738,0.0,0.21167412,10.480771,0.0,0.4975227,3.2387562,0.0
951,0.76149374,4.478134,3.4100711,0.33112124,10.30849,0.0,0.45400083,5.341194,0.0
674,0.21754858,3.7883105,0.0,0.5972195,11.157757,0.0,0.6383416,3.184685,0.0
696,0.31108376,3.9790015,0.0,0.5593836,10.285494,0.0,0.6383416,3.8317938,0.0
406,0.24052387,5.0370817,0.0,0.24917613,11.14612,0.0,0.3884543,2.7320952,0.0
1543,0.6439405,5.0162435,0.0,0.7543961,10.628156,8.017839,0.5814196,1.9147865,0.0
