client,max_expected_revenue,best_product_type
545,7.687627,CL
667,0.0,CC
1360,0.0,CC
267,3.8000798,CC
1420,0.0,CC
1024,0.0,CC
119,7.926996,CL
1243,0.0,CC
505,0.0,CC
1320,0.0,CC
919,0.0,CC
144,0.0,CC
1440,0.0,CC
779,0.0,CC
889,0.0,CC
426,0.0,CC
373,0.0,CC
464,0.0,CC
958,0.0,CC
528,0.0,CC
64,0.0,CC
1509,0.0,CC
1172,0.0,CC
389,4.588662,CC
154,8.835175,CL
1466,0.0,CC
226,0.0,CC
1237,0.0,CC
400,0.0,CC
1430,0.0,CC
1089,0.0,CC
91,2.5317047,MF
1270,0.0,CC
1363,0.0,CC
1373,0.0,CC
1249,0.0,CC
165,0.0,CC
1153,0.0,CC
24,0.0,CC
1598,0.0,CC
314,0.0,CC
255,0.0,CC
1037,0.0,CC
595,0.0,CC
1546,3.3731678,CC
231,9.251538,CL
504,0.0,CC
1398,0.0,CC
756,2.4589074,MF
1088,0.0,CC
733,0.0,CC
57,0.0,CC
1510,0.0,CC
677,8.985654,CL
1518,0.0,CC
350,8.619758,CL
1300,0.0,CC
899,0.0,CC
459,0.0,CC
749,0.0,CC
807,0.0,CC
207,0.0,CC
951,3.4100711,CC
674,0.0,CC
696,0.0,CC
406,0.0,CC
1543,8.017839,CL
168,0.0,CC
454,0.0,CC
232,0.0,CC
1136,0.0,CC
216,0.0,CC
1614,0.0,CC
1551,0.0,CC
1086,0.0,CC
909,0.0,CC
331,0.0,CC
586,0.0,CC
228,0.0,CC
74,0.0,CC
1356,0.0,CC
1201,0.0,CC
817,0.0,CC
1444,0.0,CC
1389,0.0,CC
957,0.0,CC
383,0.0,CC
1475,0.0,CC
104,3.6532233,CC
1228,0.0,CC
1465,0.0,CC
214,0.0,CC
1449,0.0,CC
11,0.0,CC
126,8.741269,CL
1227,0.0,CC
456,0.0,CC
816,0.0,CC
1183,0.0,CC
329,7.8322496,CL
665,0.0,CC
100,0.0,CC
169,0.0,CC
1365,0.0,CC
752,0.0,CC
94,0.0,CC
1443,0.0,CC
1326,0.0,CC
105,0.0,CC
1288,0.0,CC
530,0.0,CC
535,3.9979177,CC
1422,0.0,CC
972,0.0,CC
1474,0.0,CC
1174,0.0,CC
949,0.0,CC
539,0.0,CC
587,3.5416381,CC
1407,0.0,CC
668,3.2316806,CC
945,0.0,CC
258,0.0,CC
409,0.0,CC
929,0.0,CC
474,0.0,CC
488,0.0,CC
847,0.0,CC
233,0.0,CC
791,0.0,CC
540,0.0,CC
246,0.0,CC
1200,0.0,CC
625,0.0,CC
1064,0.0,CC
396,0.0,CC
523,0.0,CC
1218,0.0,CC
97,0.0,CC
1271,0.0,CC
286,0.0,CC
780,0.0,CC
871,0.0,CC
641,0.0,CC
260,0.0,CC
39,0.0,CC
369,0.0,CC
309,0.0,CC
517,0.0,CC
1455,0.0,CC
1609,0.0,CC
1120,0.0,CC
1080,0.0,CC
392,0.0,CC
1138,0.0,CC
567,0.0,CC
326,0.0,CC
357,0.0,CC
30,0.0,CC
1525,0.0,CC
797,3.7579362,CC
1493,0.0,CC
98,0.0,CC
699,8.129054,CL
543,0.0,CC
1578,0.0,CC
362,0.0,CC
263,0.0,CC
1324,0.0,CC
227,0.0,CC
1357,0.0,CC
1147,0.0,CC
55,0.0,CC
1319,0.0,CC
531,0.0,CC
1097,0.0,CC
59,0.0,CC
769,3.805131,CC
1594,0.0,CC
1314,0.0,CC
1586,0.0,CC
786,0.0,CC
419,0.0,CC
467,0.0,CC
651,0.0,CC
1520,0.0,CC
933,0.0,CC
99,0.0,CC
967,7.450879,CL
473,0.0,CC
352,3.9104326,CC
916,0.0,CC
652,0.0,CC
471,0.0,CC
199,0.0,CC
423,0.0,CC
1297,0.0,CC
1004,0.0,CC
12,8.040524,CL
1252,0.0,CC
785,8.150394,CL
1566,0.0,CC
1234,0.0,CC
829,0.0,CC
1304,0.0,CC
432,0.0,CC
1310,0.0,CC
760,3.9119763,CC
708,0.0,CC
1148,0.0,CC
1173,0.0,CC
1150,0.0,CC
1098,0.0,CC
1414,0.0,CC
1096,0.0,CC
728,0.0,CC
151,2.6203809,CC
1054,0.0,CC
201,0.0,CC
851,3.093317,CC
626,0.0,CC
206,0.0,CC
1424,3.4958389,CC
1516,7.7658997,CL
217,8.343816,CL
1405,0.0,CC
176,0.0,CC
577,0.0,CC
1146,0.0,CC
659,0.0,CC
862,0.0,CC
1321,0.0,CC
1540,0.0,CC
1133,0.0,CC
1074,0.0,CC
338,8.708027,CL
3,0.0,CC
1010,0.0,CC
243,3.4119139,CC
844,0.0,CC
1112,0.0,CC
931,0.0,CC
1248,0.0,CC
1460,0.0,CC
664,0.0,CC
1507,0.0,CC
1047,3.968317,CC
594,0.0,CC
276,0.0,CC
368,0.0,CC
1441,0.0,CC
1176,0.0,CC
936,0.0,CC
1262,0.0,CC
738,0.0,CC
766,0.0,CC
283,0.0,CC
986,0.0,CC
430,0.0,CC
