client,max_expected_revenue,best_product_type
1295,9.637765,CL
852,9.534101,CL
1119,9.493362,CL
485,9.333296,CL
231,9.251538,CL
498,9.246531,CL
1210,9.212884,CL
4,9.204393,CL
878,9.200375,CL
710,9.172381,CL
731,9.158025,CL
607,9.140779,CL
524,9.052366,CL
677,8.985654,CL
562,8.93048,CL
1358,8.84619,CL
154,8.835175,CL
521,8.755931,CL
126,8.741269,CL
338,8.708027,CL
41,8.702865,CL
717,8.700231,CL
350,8.619758,CL
333,8.578618,CL
948,8.575537,CL
1597,8.476615,CL
217,8.343816,CL
460,8.237959,CL
886,8.235347,CL
261,8.232271,CL
1063,8.20179,CL
785,8.150394,CL
699,8.129054,CL
311,8.102812,CL
12,8.040524,CL
828,8.021693,CL
1543,8.017839,CL
9,7.997443,CL
119,7.926996,CL
706,7.9201775,CL
325,7.9167085,CL
164,7.857243,CL
329,7.8322496,CL
1516,7.7658997,CL
1082,7.7645884,CL
545,7.687627,CL
1341,7.6680117,CL
830,7.595781,CL
490,7.5871196,CL
750,7.577797,CL
967,7.450879,CL
794,7.360657,CL
19,4.602499,CC
389,4.588662,CC
1354,4.3269577,CC
535,3.9979177,CC
978,3.9936569,CC
1047,3.968317,CC
760,3.9119763,CC
352,3.9104326,CC
1129,3.8459258,CC
1280,3.808329,CC
769,3.805131,CC
267,3.8000798,CC
145,3.7946987,CC
797,3.7579362,CC
382,3.6930075,CC
633,3.669031,CC
340,3.6611152,CC
104,3.6532233,CC
1076,3.5936933,CC
1331,3.5760527,CC
1487,3.54421,CC
587,3.5416381,CC
1424,3.4958389,CC
1553,3.4492123,MF
243,3.4119139,CC
951,3.4100711,CC
513,3.4086535,CC
640,3.4054432,CC
1546,3.3731678,CC
411,3.361148,CC
197,3.3529532,CC
1588,3.3450599,CC
16,3.2979558,CC
668,3.2316806,CC
1222,3.1977966,CC
592,3.196724,CC
1260,3.1114762,CC
851,3.093317,CC
1278,3.032718,CC
1410,3.0204618,CC
289,3.0163093,CC
1241,2.900566,CC
151,2.6203809,CC
1073,2.541422,MF
91,2.5317047,MF
756,2.4589074,MF
1226,2.4563975,MF
1225,2.412835,MF
